,accuracy,precision,recall,f1_score
RandomForest,0.9889739298780988,0.9871705347810815,0.9889739298780988,0.9873730039161752
NaiveBayes,0.9391289724532822,0.9443083124184339,0.9391289724532822,0.9384103071460014
LightGBM,0.9819018555889157,0.9779428759160685,0.9819018555889157,0.976642412382139
